firm,number_of_stores,markets,
114 Grocery & Deli Incorporated,1,NY,
1st Oriental Supermarket,2,FL,
A & A Fine Foods,1,NJ,
A & G Fine Foods Incorporated,1,,
A & P Food Stores,109,"CT, DE, GA, IL, IN, LA, MD, MS, NC, NH, NJ, NY, PA, TX",
A G Ferrari Foods,4,"CT, DE, GA, IL, IN, LA, MD, MS, NC, NH, NJ, NY, PA, TX",
Acme Markets,4,"CT, DE, GA, IL, IN, LA, MD, MS, NC, NH, NJ, NY, PA, TX",
African and Caribbean Supermarket,4,"CT, DE, GA, IL, IN, LA, MD, MS, NC, NH, NJ, NY, PA, TX",
AG Ferrari Foods,4,"CT, DE, GA, IL, IN, LA, MD, MS, NC, NH, NJ, NY, PA, TX",
Agro Foods,4,"CT, DE, GA, IL, IN, LA, MD, MS, NC, NH, NJ, NY, PA, TX",
Aguada Supermarket Incorporated,4,"CT, DE, GA, IL, IN, LA, MD, MS, NC, NH, NJ, NY, PA, TX",
Ajs Fine Foods,4,"CT, DE, GA, IL, IN, LA, MD, MS, NC, NH, NJ, NY, PA, TX",
Akins Natural Food,4,"CT, DE, GA, IL, IN, LA, MD, MS, NC, NH, NJ, NY, PA, TX",
AL & James Foods,4,"CT, DE, GA, IL, IN, LA, MD, MS, NC, NH, NJ, NY, PA, TX",
Al's Supermarket,4,"CT, DE, GA, IL, IN, LA, MD, MS, NC, NH, NJ, NY, PA, TX",
Albertsons,4,"CT, DE, GA, IL, IN, LA, MD, MS, NC, NH, NJ, NY, PA, TX",
ALDI,4,"CT, DE, GA, IL, IN, LA, MD, MS, NC, NH, NJ, NY, PA, TX",
All American Foods,4,"CT, DE, GA, IL, IN, LA, MD, MS, NC, NH, NJ, NY, PA, TX",
American Foods Group,4,"CT, DE, GA, IL, IN, LA, MD, MS, NC, NH, NJ, NY, PA, TX",
American Supermarket,4,"CT, DE, GA, IL, IN, LA, MD, MS, NC, NH, NJ, NY, PA, TX",
Americold Logistics,4,"CT, DE, GA, IL, IN, LA, MD, MS, NC, NH, NJ, NY, PA, TX",
Ameriqual Foods Inc.,4,"CT, DE, GA, IL, IN, LA, MD, MS, NC, NH, NJ, NY, PA, TX",
Ameristop Food Mart,4,"CT, DE, GA, IL, IN, LA, MD, MS, NC, NH, NJ, NY, PA, TX",
Amish Market Atlas Park,4,"CT, DE, GA, IL, IN, LA, MD, MS, NC, NH, NJ, NY, PA, TX",
Ammons Supermarket LLC,4,"CT, DE, GA, IL, IN, LA, MD, MS, NC, NH, NJ, NY, PA, TX",
Anderson Supermarket,4,,
Andys Iga Foodliner,4,ME,
Anshas West Indian Supermarket,4,FL,
Apna Bazaar,4,"CA, NY, TX",
Apples Supermarket,4,OH,
Arck Foods,4,NE,
Arena Supermarket,4,FL,
Arends Family Foods,4,NE,
Aria Foods,4,NJ,
Arley Country Supermarket,4,AL,
Armando's Supermarket,4,"FL, IL",
Arteaga's Starlite Supermarket,4,CA,
Artel Supermarket,4,FL,
Associated Food Stores,4,"NH, NJ, NY, WA",
Atkinsons Market,4,ID,
Austin Foods,4,"IL, IN, NC, NY",
Azteca Grocery,4,,
Azteca Mkt.,4,CA,
Azteco Mkt.,4,,
B & B Foods,4,"MT, TX",
B & F Super Foods,4,CO,
B & G Foods,4,"AR, DE, MD, ME, NJ, TN",
Babco Foods International,4,NJ,
Baker's,4,NE,
Baldor Speciality Foods,4,"MA, NY",
Bar S Foods,4,"AZ, OK",
Baraboo Sysco Food,4,WI,
Bashas,4,AZ,
Basic American Foods,4,"CA, ID, IL, MD, WA, WI",
Beit Brothers Supermarket,4,CT,
Bel Air Supermarkets,4,CA,
Ben E Keith Foods,4,"AR, KS, LA, OK, TN, TX",
Benders Foods,4,"IA, WI",
Benetti Foods,4,MN,
Berner Foods Incorporated,4,IL,
Better Brand Foods Inc.,4,CA,
Bi lo Inc,4,"AL, FL, GA, LA, NC, PA, SC, TN",
BI Rite Supermarket,4,"MD, MI, OH, SC, TX",
Bi-Lo,4,"AL, GA, MT, NC, PA, SC, TN",
BI-Rite Supermarket,4,"CA, NC, OH, OK, TX",
Big Apple Supermarket,4,"NC, OH",
Big Bear Natural Foods,4,"NJ, PA",
Big M,4,NY,
Big Saver Foods,4,CA,
Big Sky Premium Meats & Specialty Foods,4,MT,
Big Star Grocery,4,MS,
Big Star Super Market,4,"AL, LA, MS, TN",
Big Top Supermarket,4,FL,
Big Town Foods,4,AL,
Big Value Super Mkt.,4,CT,
Big Y Foods,4,"KY, MA",
Bil Mar Foods,4,"IA, TX",
Bill & Eileen's Market,4,NJ,
Bill & Sons Super Market,4,AL,
Bill Martin Foods,4,TN,
Bills Family Foods,4,IA,
Bills Shursave Supermarket,4,PA,
Bills Super Market,4,TX,
Billys Quick Stop & Farmers Market,4,MS,
BJ's Wholesale Club,4,"CT, DE, FL, GA, MA, MD, ME, NC, NH, NJ, NY, OH, OK, PA, RI, TN, VA",
Boardman Foods,4,"OR, WA",
Bravo Supermarket,4,"CT, FL, NJ, NY, PA, RI",
Breaux Mart Supermarket,4,LA,
Brookshire Brothers,4,"AR, LA, MS, TX",
Brookville Supermarket,4,"DC, MD",
Brothers Supermarket,4,"FL, MA, MI, NJ",
Broughton Foods,4,"OH, WV",
Broulims Supermarket,4,ID,
Broussards Supermarket Inc,4,"LA, WA",
Bruce Foods Corporation,4,"LA, NC, TX",
Buche Foods,4,SD,
Buehler's Buy-Low Supermarkets,4,IN,
Bunge Foods,4,"CA, IL, UT",
Buschs Family Supermarket,4,MI,
Butera Finer Foods,4,IL,
Buy Rite Foods,4,"FL, IA",
Buy Rite Supermarket,4,"NJ, NY",
Bybee Foods LLC,4,WA,
C & R Super Market,4,MO,
C Town,4,"CT, IL, MA, NJ, NY, OH, PA",
Cal Maine Foods,4,"AR, GA, KY, LA, MS, NC, NM, OH, SC, TX",
Cala Foods Inc,4,CA,
Calderon Market,4,MA,
California Creative Foods,4,CA,
California Custom Foods,4,,
California Family Foods,4,,
Cardenas Foods,4,FL,
Carrolls Foods Incorporated,4,"IA, NC, VA",
Carter's Supermarket,4,"IN, LA",
Cash Wise Foods,4,"MN, ND",
Cedar Food Market,4,NJ,
Centurion Foods LLC,4,GA,
Ceriello Fine Foods,4,"CT, MD, NJ, NY",
Certified Grocers of III,4,IL,
Chamberlins Natural Foods,4,FL,
Chavez Supermarket,4,CA,
Checo Supermarket,4,"NJ, NY",
Chestertown Natural Foods,4,MD,
Chief Supermarkets,4,OH,
City Market,4,"CA, CO, DC, FL, GA, IA, ID, KY, MD, MI, MN, MO, NC, NJ, NM, NY, OR, TN, TX, UT, VA, WA, WI, WY",
Costco,4,"AK, AL, AZ, CA, CO, CT, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, MA, MD, MI, MN, MO, MT, NC, NE, NH, NJ, NM, NV, NY, OH, OR, PA, SC, TN, TX, UT, VA, VT, WA, WI",
County Market,4,"AR, IA, IL, IN, LA, MN, MS, MT, PA, WI",
Crowley Foods,4,"NY, VA",
Ctown,4,NY,
Cub Foods,4,"GA, IA, IL, MN, OH, WI",
Culloden Independent Supermarket,4,WV,
Culloden Independent Supermarket Route 60,4,,
Cumberland Farms,4,"CT, FL, MA, NY, PA",
D & B Foods,4,"IA, MN",
D & D Super Mkt.,4,IN,
D & J Supermarket Corp,4,FL,
D & M Family Foods,4,KY,
D & M Supermarket,4,"CT, MI",
D & R Market,4,"IN, MA",
D' Agostinos Supermarket,4,NY,
Dabo Foods,4,OR,
Dahls Foods,4,IA,
Dakota Natural Foods Inc,4,MN,
Danny's Fine Foods,4,MI,
Dans Super Market,4,"ND, UT",
Dans Supreme Supermarket,4,NY,
Dash Markets,4,,
Dave's Supermarket,4,"IL, MO, NY, OH, PA, WI",
Davids Supermarket,4,TX,
Davisco Foods,4,"GA, MN, SD",
Dawn Foods,4,AR,
Daybreak Foods,4,"IA, MN, WA, WI",
Dean Foods,4,"IL, IN, KY, MA, MI, MN, OH, SD, VA, WI",
Delberts Supermarket,4,OK,
Demoulas Supermarket,4,"MA, NH",
Diamond Crystal Specialty Foods,4,IA,
Diamond Supermarket,4,"NY, TX",
Dicks Supermarket,4,"IA, WI",
Dillon Stores,4,"KS, MO",
Dominick's Finer Foods,4,"CA, IL",
Donelans Supermarket,4,MA,
Dot Foods,4,"CA, ID, IL, IN, MO, NY, OK",
Dover Super Market,4,"AR, NJ",
Down Home Foods,4,"MN, OH",
Down to Earth Natural Foods,4,"HI, MA, NY, OH, TX, UT",
